fomula,homo,lumo,band gap,cosmoname,cosmodata
LiLiLiRbPbFFBrBrBrI,-0.21604,-0.0745,0.14154,Water,78.5400
LiLiLiRbPbFFClBrBrI,-0.21645,-0.09102,0.12543,Chlorofom,4.8060
LiLiLiRbPbFFClBrII,-0.21772,-0.10214,0.11558,n-hexadecane,2.0600
LiLiLiRbPbFFClClClI,-0.21859,-0.08415,0.13444,Acetone,20.7000
LiLiLiRbPbFFClClII,-0.21029,-0.06881,0.14148,Methylene chloride,9.0800
LiLiLiRbPbFFClIII,-0.21655,-0.09091,0.12564,Dimethyl sulfoxide,46.7000
LiLiLiRbPbFFFBrII,-0.20949,-0.08128,0.12821,Acetonitrile,37.5000
LiLiLiRbPbFFFClBrBr,-0.21867,-0.06867,0.15,Ethanol,24.3000
LiLiLiRbPbFFFFClBr,-0.23214,-0.07744,0.1547,Ethanol,24.3000
LiLiLiRbPbFFFFFF,-0.24891,-0.07014,0.17877,Pyridine,12.3000
LiLiLiRbPbFFFFFI,-0.21036,-0.06238,0.14798,Pyridine,12.3000
LiLiLiRbPbFFFFII,-0.21386,-0.07977,0.13409,Ethanol,24.3000
LiLiLiRbPbFFFIII,-0.21829,-0.09027,0.12802,Pyridine,12.3000
LiLiLiRbPbFIIIII,-0.21836,-0.1061,0.11226,Ethanol,24.3000
LiLiLiRbSnBrBrBrBrBrBr,-0.20322,-0.07396,0.12926,Water,78.5400
LiLiLiRbSnBrBrBrBrBrI,-0.20406,-0.10571,0.09835,Benzene,2.2840
LiLiLiRbSnBrBrBrBrII,-0.20009,-0.07386,0.12623,Acetonitrile,37.5000
LiLiLiRbSnClClBrIII,-0.19675,-0.07541,0.12134,Chlorofom,4.8060
LiLiLiRbSnClClClBrBrI,-0.20324,-0.08346,0.11978,Ethanol,24.3000
LiLiLiRbSnClClClClBrBr,-0.20462,-0.07868,0.12594,n-hexane,1.8900
LiLiLiRbSnClClClClClBr,-0.23456,-0.08655,0.14801,Acetonitrile,37.5000
LiLiLiRbSnFBrBrBrII,-0.20422,-0.08209,0.12213,Benzene,2.2840
LiLiLiRbSnFClBrIII,-0.19642,-0.0635,0.13292,Dimethyl sulfoxide,46.7000
LiLiLiRbSnFClClBrII,-0.20126,-0.07196,0.1293,Chlorofom,4.8060
LiLiLiRbSnFClClClBrI,-0.20631,-0.06173,0.14458,Chlorofom,4.8060
LiLiLiRbSnFClIIII,-0.19903,-0.08327,0.11576,Methanol,32.6300
LiLiLiRbSnFFBrBrBrBr,-0.21802,-0.07372,0.1443,Nitrobenzene,35.7000
LiLiLiRbSnFFClClBrBr,-0.20589,-0.04709,0.1588,Pyridine,12.3000
LiLiLiRbSnFFClClClBr,-0.20435,-0.06822,0.13613,Benzene,2.2840
LiLiLiRbSnFFClClII,-0.19021,-0.05232,0.13789,n-hexadecane,2.0600
LiLiLiRbSnFFClIII,-0.18692,-0.07214,0.11478,n-hexane,1.8900
LiLiLiRbSnFFFClClBr,-0.22309,-0.07105,0.15204,n-hexane,1.8900
LiLiLiRbSnFFFFClBr,-0.23109,-0.06193,0.16916,Diethyl ether,4.3350
LiLiLiRbSnFFFFClCl,-0.23142,-0.05765,0.17377,Benzene,2.2840
LiLiLiRbSnFFFFFBr,-0.20941,-0.06184,0.14757,Acetone,20.7000
LiLiLiRbSnFFFIII,-0.20319,-0.08005,0.12314,Ethanol,24.3000
LiLiLiRbSnFFIIII,-0.1926,-0.07387,0.11873,Methylene chloride,9.0800
LiLiLiRbSnFIIIII,-0.20114,-0.08682,0.11432,n-hexadecane,2.0600
LiLiNaCsGeBrBrBrBrBrBr,-0.20695,-0.08259,0.12436,Dimethyl sulfoxide,46.7000
LiLiNaCsGeBrBrBrIII,-0.20139,-0.07258,0.12881,Acetone,20.7000
LiLiNaCsGeBrBrIIII,-0.20557,-0.07733,0.12824,Nitrobenzene,35.7000
LiLiNaCsGeBrIIIII,-0.19743,-0.07923,0.1182,n-hexadecane,2.0600
LiLiNaCsSnFFFClClI,-0.19724,-0.05829,0.13895,Chlorofom,4.8060
LiLiNaCsSnFFFFFF,-0.21688,-0.03828,0.1786,Diethyl ether,4.3350
LiLiNaCsSnFFFFII,-0.21371,-0.06934,0.14437,Acetone,20.7000
LiLiNaCsSnFFFIII,-0.19883,-0.05573,0.1431,Pyridine,12.3000
LiLiNaKGeBrBrBrBrBrI,-0.21057,-0.0779,0.13267,Pyridine,12.3000
LiLiNaKGeBrBrBrBrII,-0.20513,-0.07412,0.13101,Diethyl ether,4.3350
LiLiNaKGeClBrBrBrBrBr,-0.20825,-0.07525,0.133,Diethyl ether,4.3350
LiLiNaKGeClClBrBrBrBr,-0.2119,-0.07869,0.13321,Acetonitrile,37.5000
LiLiNaKGeClClClBrBrBr,-0.21266,-0.07295,0.13971,Carbon tetrachloride,2.2380
LiLiNaKGeClClClBrBrI,-0.20089,-0.07233,0.12856,n-hexane,1.8900
LiLiNaKGeClClClBrII,-0.21198,-0.09406,0.11792,Diethyl ether,4.3350
LiLiNaKGeClClClClBrI,-0.21285,-0.07081,0.14204,Carbon tetrachloride,2.2380
LiLiNaKGeClClClClII,-0.2092,-0.07659,0.13261,Methanol,32.6300
LiLiNaKGeClClIIII,-0.2022,-0.07373,0.12847,Ethanol,24.3000
LiLiNaKGeClIIIII,-0.2042,-0.07945,0.12475,n-hexadecane,2.0600
LiLiNaKGeFClClClBrI,-0.21974,-0.0772,0.14254,n-hexadecane,2.0600
LiLiNaKGeFClIIII,-0.21362,-0.10052,0.1131,n-hexane,1.8900
LiLiNaKGeFFBrBrII,-0.20588,-0.06036,0.14552,Pyridine,12.3000
LiLiNaKGeFFClBrBrBr,-0.21517,-0.07226,0.14291,n-hexadecane,2.0600
LiLiNaKGeFFClBrII,-0.20618,-0.07258,0.1336,n-hexadecane,2.0600
LiLiNaKGeFFClClBrI,-0.20744,-0.07183,0.13561,Ethanol,24.3000
LiLiNaKGeFFClClClCl,-0.22585,-0.07185,0.154,Diethyl ether,4.3350
LiLiNaKGeFFClClClI,-0.21721,-0.06209,0.15512,Methylene chloride,9.0800
LiLiNaKGeFFClIII,-0.20367,-0.06794,0.13573,Methanol,32.6300
LiLiNaKGeFFFBrII,-0.20899,-0.05763,0.15136,n-hexadecane,2.0600
LiLiNaKGeFFFClBrI,-0.20083,-0.06626,0.13457,Acetonitrile,37.5000
LiLiNaKGeFFFClClCl,-0.22564,-0.05432,0.17132,Acetone,20.7000
LiLiNaKGeFFFFBrBr,-0.22497,-0.06444,0.16053,Acetone,20.7000
LiLiNaKGeFFFFBrI,-0.20753,-0.06223,0.1453,n-hexadecane,2.0600
LiLiNaKGeFFFFClBr,-0.22655,-0.04039,0.18616,Acetonitrile,37.5000
LiLiNaKGeFFFFClI,-0.21898,-0.0444,0.17458,Nitrobenzene,35.7000
LiLiNaKGeFFFFFCl,-0.21962,-0.05209,0.16753,Diethyl ether,4.3350
LiLiNaKGeFFFFFF,-0.22032,-0.04276,0.17756,Nitrobenzene,35.7000
LiLiNaKGeFFFFII,-0.20103,-0.07534,0.12569,n-hexadecane,2.0600
LiLiNaKGeFFIIII,-0.20253,-0.07359,0.12894,Chlorofom,4.8060
LiLiNaKGeFIIIII,-0.20367,-0.08956,0.11411,Diethyl ether,4.3350
LiLiNaKPbBrBrBrBrBrI,-0.21864,-0.09479,0.12385,Acetone,20.7000
LiLiNaKPbBrIIIII,-0.21377,-0.10137,0.1124,Diethyl ether,4.3350
LiLiNaKPbClClBrBrII,-0.22183,-0.10194,0.11989,Benzene,2.2840
LiLiNaKPbClClClBrBrBr,-0.22586,-0.0938,0.13206,Dimethyl sulfoxide,46.7000
LiLiNaKPbClClClClBrBr,-0.22635,-0.07368,0.15267,Dimethyl sulfoxide,46.7000
LiLiNaKPbClClClClBrI,-0.21996,-0.09999,0.11997,n-hexane,1.8900
LiLiNaKPbClClClClClI,-0.21234,-0.0779,0.13444,Benzene,2.2840
LiLiNaKPbClClClClII,-0.20836,-0.0971,0.11126,n-hexane,1.8900
LiLiNaKPbClIIIII,-0.21563,-0.1015,0.11413,Water,78.5400
LiLiNaKPbFBrBrBrBrBr,-0.22918,-0.10062,0.12856,n-hexane,1.8900
LiLiNaKPbFBrBrBrBrI,-0.22007,-0.08823,0.13184,Diethyl ether,4.3350
LiLiNaKPbFBrBrIII,-0.21745,-0.09651,0.12094,Ethanol,24.3000
LiLiNaKPbFClBrBrBrI,-0.2215,-0.08191,0.13959,Nitrobenzene,35.7000
LiLiNaKPbFClClBrBrI,-0.21773,-0.09896,0.11877,Benzene,2.2840
LiLiNaKPbFClClClClI,-0.22627,-0.08647,0.1398,Pyridine,12.3000
LiLiNaKPbFFBrBrBrBr,-0.21848,-0.08832,0.13016,Benzene,2.2840
LiLiNaKPbFFClClBrBr,-0.20796,-0.09443,0.11353,Carbon tetrachloride,2.2380
LiLiNaKPbFFClClBrI,-0.22225,-0.10337,0.11888,n-hexadecane,2.0600
LiLiNaKPbFFClClClCl,-0.22918,-0.07186,0.15732,Ethanol,24.3000
LiLiNaKPbFFClClClI,-0.22059,-0.07466,0.14593,Water,78.5400
LiLiNaKPbFFClIII,-0.21486,-0.0893,0.12556,Chlorofom,4.8060
LiLiNaKPbFFFBrBrBr,-0.22629,-0.06982,0.15647,Acetonitrile,37.5000
LiLiNaKPbFFFClBrBr,-0.21582,-0.06952,0.1463,Dimethyl sulfoxide,46.7000
LiLiNaKPbFFFClII,-0.21388,-0.07972,0.13416,Methanol,32.6300
LiLiNaKPbFFFFBrBr,-0.22673,-0.07009,0.15664,Ethanol,24.3000
LiLiNaKPbFFFFClBr,-0.22005,-0.07545,0.1446,n-hexadecane,2.0600
LiLiNaKPbFFFFClI,-0.21441,-0.08902,0.12539,n-hexadecane,2.0600
LiLiNaKPbIIIIII,-0.21448,-0.10058,0.1139,Benzene,2.2840
LiLiNaKSnClBrBrBrBrBr,-0.21285,-0.09513,0.11772,Carbon tetrachloride,2.2380
LiLiNaKSnClClBrBrII,-0.20914,-0.0833,0.12584,Dimethyl sulfoxide,46.7000
LiLiNaKSnClClClBrBrBr,-0.20457,-0.07474,0.12983,Acetone,20.7000
LiLiNaKSnClClClClClCl,-0.21146,-0.05405,0.15741,Dimethyl sulfoxide,46.7000
LiLiNaKSnClClIIII,-0.19944,-0.07425,0.12519,Methanol,32.6300
LiLiNaKSnClIIIII,-0.19901,-0.08019,0.11882,Diethyl ether,4.3350
LiLiNaKSnFBrBrBrBrI,-0.2116,-0.0796,0.132,Dimethyl sulfoxide,46.7000
LiLiNaKSnFClBrBrBrBr,-0.2267,-0.08318,0.14352,Methanol,32.6300
LiLiNaKSnFClBrBrII,-0.20454,-0.08634,0.1182,n-hexadecane,2.0600
LiLiNaKSnFClClClBrBr,-0.2299,-0.09139,0.13851,n-hexadecane,2.0600
LiLiNaKSnFClClClBrI,-0.2056,-0.07415,0.13145,Diethyl ether,4.3350
LiLiNaKSnFClClClClBr,-0.22891,-0.07618,0.15273,Water,78.5400
LiLiNaKSnFClClClClCl,-0.23518,-0.08149,0.15369,n-hexane,1.8900
LiLiNaKSnFClClClClI,-0.22372,-0.07789,0.14583,Benzene,2.2840
LiLiNaKSnFFBrBrBrI,-0.2026,-0.08175,0.12085,n-hexane,1.8900
LiLiNaKSnFFBrBrII,-0.21506,-0.07888,0.13618,n-hexane,1.8900
LiLiNaKSnFFClBrII,-0.20723,-0.09373,0.1135,n-hexadecane,2.0600
LiLiNaKSnFFClClClBr,-0.22418,-0.06954,0.15464,Nitrobenzene,35.7000
LiLiNaKSnFFFBrBrBr,-0.21679,-0.06632,0.15047,n-hexadecane,2.0600
LiLiNaKSnFFFFBrI,-0.20209,-0.07039,0.1317,n-hexane,1.8900
LiLiNaKSnFFFFClBr,-0.22115,-0.0555,0.16565,Pyridine,12.3000
LiLiNaKSnFFFFFF,-0.2205,-0.02942,0.19108,n-hexane,1.8900
LiLiNaKSnFFFFFI,-0.19996,-0.05284,0.14712,Benzene,2.2840
LiLiNaNaGeBrBrIIII,-0.20623,-0.07896,0.12727,Dimethyl sulfoxide,46.7000
LiLiNaNaGeBrIIIII,-0.20388,-0.08361,0.12027,Methylene chloride,9.0800
LiLiNaNaGeClBrBrBrII,-0.20941,-0.0731,0.13631,Dimethyl sulfoxide,46.7000
LiLiNaNaGeClClBrBrBrBr,-0.21315,-0.07499,0.13816,Pyridine,12.3000
LiLiNaNaGeClClBrBrBrI,-0.20994,-0.07168,0.13826,Dimethyl sulfoxide,46.7000
LiLiNaNaGeClClBrBrII,-0.20847,-0.07612,0.13235,n-hexadecane,2.0600
LiLiNaNaGeClClClBrBrBr,-0.21084,-0.06509,0.14575,Acetone,20.7000
LiLiNaNaGeClClClClBrBr,-0.2135,-0.07824,0.13526,Methanol,32.6300
LiLiNaNaGeClIIIII,-0.20875,-0.11195,0.0968,Carbon tetrachloride,2.2380
LiLiNaNaGeFClClBrBrBr,-0.21697,-0.07511,0.14186,n-hexane,1.8900
LiLiNaNaGeFClClBrBrI,-0.20619,-0.07448,0.13171,Methanol,32.6300
LiLiNaNaGeFClClBrII,-0.20328,-0.0803,0.12298,Acetonitrile,37.5000
LiLiNaNaGeFClClClClCl,-0.21263,-0.06501,0.14762,n-hexane,1.8900
LiLiNaNaGeFFClClBrI,-0.21935,-0.06468,0.15467,Diethyl ether,4.3350
LiLiNaNaGeFFClClClCl,-0.22889,-0.05906,0.16983,Pyridine,12.3000
LiLiNaNaGeFFFBrBrBr,-0.22695,-0.07479,0.15216,Diethyl ether,4.3350
LiLiNaNaGeFFFBrBrI,-0.20469,-0.08082,0.12387,Benzene,2.2840
LiLiNaNaGeFFFBrII,-0.21234,-0.07701,0.13533,Dimethyl sulfoxide,46.7000
LiLiNaNaGeFFFClII,-0.20283,-0.07066,0.13217,Acetone,20.7000
LiLiNaNaGeFFFFBrI,-0.20794,-0.0561,0.15184,Acetone,20.7000
LiLiNaNaGeFFFFClI,-0.21056,-0.05306,0.1575,Nitrobenzene,35.7000
LiLiNaNaGeFFFFFBr,-0.21431,-0.04389,0.17042,Acetonitrile,37.5000
LiLiNaNaGeFFFFFI,-0.20749,-0.04705,0.16044,Acetonitrile,37.5000
LiLiNaNaGeIIIIII,-0.20559,-0.08786,0.11773,Pyridine,12.3000
LiLiNaNaPbBrBrBrIII,-0.21918,-0.10678,0.1124,Diethyl ether,4.3350
LiLiNaNaPbClBrBrBrBrBr,-0.22551,-0.09035,0.13516,Acetonitrile,37.5000
LiLiNaNaPbClBrBrBrII,-0.22024,-0.09482,0.12542,Ethanol,24.3000
LiLiNaNaPbClClBrBrII,-0.22241,-0.08088,0.14153,Methylene chloride,9.0800
LiLiNaNaPbClClBrIII,-0.21948,-0.09497,0.12451,Acetonitrile,37.5000
LiLiNaNaPbClClClClBrBr,-0.22649,-0.08918,0.13731,Ethanol,24.3000
LiLiNaNaPbClClClClClCl,-0.24074,-0.10235,0.13839,Pyridine,12.3000
LiLiNaNaPbClClClIII,-0.22116,-0.08169,0.13947,Nitrobenzene,35.7000
LiLiNaNaPbFBrBrIII,-0.21775,-0.09488,0.12287,Dimethyl sulfoxide,46.7000
LiLiNaNaPbFBrIIII,-0.21804,-0.09527,0.12277,Methanol,32.6300
LiLiNaNaPbFClBrBrII,-0.21752,-0.09025,0.12727,Nitrobenzene,35.7000
LiLiNaNaPbFClClClBrBr,-0.22183,-0.0803,0.14153,Methanol,32.6300
LiLiNaNaPbFClClClBrI,-0.22327,-0.09502,0.12825,Diethyl ether,4.3350
LiLiNaNaPbFClClClClCl,-0.24057,-0.0815,0.15907,Nitrobenzene,35.7000
LiLiNaNaPbFClClClClI,-0.23276,-0.09203,0.14073,Chlorofom,4.8060
LiLiNaNaPbFClClClII,-0.2171,-0.0925,0.1246,Methylene chloride,9.0800
LiLiNaNaPbFClClIII,-0.21575,-0.09189,0.12386,Methylene chloride,9.0800
LiLiNaNaPbFClIIII,-0.21402,-0.10541,0.10861,n-hexadecane,2.0600
LiLiNaNaPbFFBrBrII,-0.21717,-0.08357,0.1336,Acetonitrile,37.5000
LiLiNaNaPbFFBrIII,-0.21173,-0.08795,0.12378,Methanol,32.6300
LiLiNaNaPbFFClBrBrBr,-0.22929,-0.08564,0.14365,Chlorofom,4.8060
LiLiNaNaPbFFClClBrBr,-0.22482,-0.07619,0.14863,Dimethyl sulfoxide,46.7000
LiLiNaNaPbFFClClClI,-0.21845,-0.08133,0.13712,Chlorofom,4.8060
LiLiNaNaPbFFFBrBrBr,-0.22957,-0.07764,0.15193,Methanol,32.6300
LiLiNaNaPbFFFClClBr,-0.22789,-0.0813,0.14659,Carbon tetrachloride,2.2380
LiLiNaNaPbFFFClClCl,-0.23498,-0.08475,0.15023,Benzene,2.2840
LiLiNaNaPbFFFFFBr,-0.21828,-0.06173,0.15655,Benzene,2.2840
LiLiNaNaPbFFFFII,-0.21338,-0.07715,0.13623,Methylene chloride,9.0800
LiLiNaNaPbFFFIII,-0.21516,-0.07842,0.13674,Nitrobenzene,35.7000
LiLiNaNaSnBrBrIIII,-0.20573,-0.0956,0.11013,Methylene chloride,9.0800
LiLiNaNaSnBrIIIII,-0.20689,-0.09685,0.11004,Chlorofom,4.8060
LiLiNaNaSnClClBrBrBrI,-0.20729,-0.08394,0.12335,Acetonitrile,37.5000
LiLiNaNaSnClClBrBrII,-0.20806,-0.09275,0.11531,n-hexadecane,2.0600
LiLiNaNaSnClClClBrBrI,-0.2155,-0.0746,0.1409,Dimethyl sulfoxide,46.7000
LiLiNaNaSnClClClClBrI,-0.21607,-0.07855,0.13752,Pyridine,12.3000
LiLiNaNaSnClClClClClCl,-0.21878,-0.078,0.14078,Ethanol,24.3000
LiLiNaNaSnClClClClClI,-0.23249,-0.08925,0.14324,Benzene,2.2840
LiLiNaNaSnFBrBrBrBrI,-0.20894,-0.08476,0.12418,Ethanol,24.3000
LiLiNaNaSnFBrBrBrII,-0.21524,-0.09106,0.12418,n-hexane,1.8900
LiLiNaNaSnFClBrIII,-0.21104,-0.08581,0.12523,Water,78.5400
LiLiNaNaSnFClClBrII,-0.21511,-0.08067,0.13444,Diethyl ether,4.3350
LiLiNaNaSnFClClClBrBr,-0.23127,-0.07382,0.15745,n-hexadecane,2.0600
LiLiNaNaSnFClClClII,-0.2092,-0.0739,0.1353,Methylene chloride,9.0800
LiLiNaNaSnFClIIII,-0.19906,-0.08332,0.11574,Pyridine,12.3000
LiLiNaNaSnFFBrBrBrI,-0.2178,-0.07613,0.14167,Pyridine,12.3000
LiLiNaNaSnFFBrBrII,-0.2133,-0.07645,0.13685,Carbon tetrachloride,2.2380
LiLiNaNaSnFFBrIII,-0.20885,-0.07203,0.13682,Acetone,20.7000
LiLiNaNaSnFFClBrBrI,-0.21539,-0.07408,0.14131,Nitrobenzene,35.7000
LiLiNaNaSnFFFClClBr,-0.23066,-0.08145,0.14921,Carbon tetrachloride,2.2380
LiLiNaNaSnFFFClClI,-0.20539,-0.06947,0.13592,Ethanol,24.3000
LiLiNaNaSnFFFFBrBr,-0.21468,-0.059,0.15568,Chlorofom,4.8060
LiLiNaNaSnFFFIII,-0.19918,-0.06271,0.13647,Methanol,32.6300
LiLiNaRbGeClClBrIII,-0.20867,-0.08383,0.12484,Ethanol,24.3000
LiLiNaRbGeClClClBrII,-0.21248,-0.09678,0.1157,Diethyl ether,4.3350
LiLiNaRbGeClClClClClCl,-0.23978,-0.07438,0.1654,Nitrobenzene,35.7000
LiLiNaRbGeFBrBrBrBrBr,-0.21941,-0.0763,0.14311,Acetonitrile,37.5000
LiLiNaRbGeFBrIIII,-0.21243,-0.105,0.10743,n-hexane,1.8900
LiLiNaRbGeFClBrBrBrI,-0.22265,-0.07914,0.14351,Ethanol,24.3000
LiLiNaRbGeFClBrBrII,-0.21203,-0.07047,0.14156,Acetone,20.7000
LiLiNaRbGeFClClClBrBr,-0.20606,-0.05355,0.15251,Chlorofom,4.8060
LiLiNaRbGeFClClClClCl,-0.23066,-0.07077,0.15989,n-hexane,1.8900
LiLiNaRbGeFClClClII,-0.21459,-0.06746,0.14713,Water,78.5400
LiLiNaRbGeFClIIII,-0.2194,-0.08865,0.13075,Nitrobenzene,35.7000
LiLiNaRbGeFFClBrBrBr,-0.21334,-0.07448,0.13886,Acetone,20.7000
LiLiNaRbGeFFClClBrI,-0.22488,-0.075,0.14988,Methylene chloride,9.0800
LiLiNaRbGeFFClClII,-0.20809,-0.07834,0.12975,Acetone,20.7000
LiLiNaRbGeFFClIII,-0.2028,-0.08702,0.11578,Ethanol,24.3000
LiLiNaRbGeFFFBrBrBr,-0.20342,-0.05762,0.1458,Methylene chloride,9.0800
LiLiNaRbGeFFFFFCl,-0.23302,-0.04191,0.19111,n-hexane,1.8900
LiLiNaRbGeFFFFFI,-0.20849,-0.0426,0.16589,Ethanol,24.3000
LiLiNaRbGeFIIIII,-0.19875,-0.09469,0.10406,Ethanol,24.3000
LiLiNaRbPbBrBrBrBrBrBr,-0.22876,-0.09861,0.13015,Nitrobenzene,35.7000
LiLiNaRbPbBrBrBrBrII,-0.22089,-0.10196,0.11893,Dimethyl sulfoxide,46.7000
LiLiNaRbPbClBrBrBrBrBr,-0.23141,-0.09679,0.13462,Acetone,20.7000
LiLiNaRbPbClBrBrBrII,-0.21927,-0.07911,0.14016,Methanol,32.6300
LiLiNaRbPbClClBrBrBrBr,-0.23102,-0.09533,0.13569,Dimethyl sulfoxide,46.7000
LiLiNaRbPbClClBrBrBrI,-0.22362,-0.08054,0.14308,Pyridine,12.3000
LiLiNaRbPbClClBrBrII,-0.21438,-0.10661,0.10777,Benzene,2.2840
LiLiNaRbPbClClClBrBrBr,-0.2266,-0.08919,0.13741,Ethanol,24.3000
LiLiNaRbPbClClClBrII,-0.22421,-0.09604,0.12817,Methylene chloride,9.0800
LiLiNaRbPbClClClIII,-0.21959,-0.09704,0.12255,Pyridine,12.3000
LiLiNaRbPbClIIIII,-0.21635,-0.09494,0.12141,Acetonitrile,37.5000
LiLiNaRbPbFClClBrBrI,-0.21583,-0.09532,0.12051,Pyridine,12.3000
LiLiNaRbPbFClClClClI,-0.22951,-0.09382,0.13569,Benzene,2.2840
LiLiNaRbPbFClClClII,-0.21725,-0.093,0.12425,Diethyl ether,4.3350
LiLiNaRbPbFFBrBrBrBr,-0.22403,-0.08128,0.14275,Diethyl ether,4.3350
LiLiNaRbPbFFBrBrBrI,-0.2246,-0.09394,0.13066,Diethyl ether,4.3350
LiLiNaRbPbFFClBrII,-0.21732,-0.08306,0.13426,Ethanol,24.3000
LiLiNaRbPbFFClClBrBr,-0.22611,-0.09406,0.13205,Benzene,2.2840
LiLiNaRbPbFFClIII,-0.21558,-0.09443,0.12115,Water,78.5400
LiLiNaRbPbFFFBrBrI,-0.21586,-0.07635,0.13951,Chlorofom,4.8060
LiLiNaRbPbFFFClBrBr,-0.22414,-0.07748,0.14666,n-hexadecane,2.0600
LiLiNaRbPbFFFFBrBr,-0.22312,-0.06532,0.1578,Nitrobenzene,35.7000
LiLiNaRbPbFFFFClBr,-0.22376,-0.07503,0.14873,Carbon tetrachloride,2.2380
LiLiNaRbPbFFFFFBr,-0.23357,-0.05201,0.18156,Dimethyl sulfoxide,46.7000
LiLiNaRbPbFFFIII,-0.2141,-0.08792,0.12618,Chlorofom,4.8060
LiLiNaRbPbIIIIII,-0.21608,-0.08731,0.12877,Methanol,32.6300
LiLiNaRbSnClBrBrBrBrBr,-0.20802,-0.08425,0.12377,Carbon tetrachloride,2.2380
LiLiNaRbSnClBrBrBrII,-0.20305,-0.07651,0.12654,Methylene chloride,9.0800
LiLiNaRbSnClClBrBrBrI,-0.20401,-0.0834,0.12061,n-hexane,1.8900
LiLiNaRbSnClClBrBrII,-0.19602,-0.06617,0.12985,n-hexane,1.8900
LiLiNaRbSnClClClClClBr,-0.23453,-0.08223,0.1523,Benzene,2.2840
LiLiNaRbSnClClClClClCl,-0.21829,-0.08091,0.13738,n-hexane,1.8900
LiLiNaRbSnClClClClClI,-0.2056,-0.06364,0.14196,Acetone,20.7000
LiLiNaRbSnFBrBrBrBrI,-0.18927,-0.05119,0.13808,Acetonitrile,37.5000
LiLiNaRbSnFClBrBrBrI,-0.2281,-0.09044,0.13766,Carbon tetrachloride,2.2380
LiLiNaRbSnFClBrBrII,-0.19395,-0.06262,0.13133,Dimethyl sulfoxide,46.7000
LiLiNaRbSnFClClBrBrI,-0.19715,-0.06453,0.13262,n-hexane,1.8900
LiLiNaRbSnFClClBrII,-0.21866,-0.09219,0.12647,n-hexadecane,2.0600
LiLiNaRbSnFClClClBrBr,-0.21739,-0.07626,0.14113,Benzene,2.2840
LiLiNaRbSnFFBrBrII,-0.19808,-0.10487,0.09321,Benzene,2.2840
LiLiNaRbSnFFClIII,-0.18664,-0.05558,0.13106,Dimethyl sulfoxide,46.7000
LiLiNaRbSnFFFClClBr,-0.21628,-0.05179,0.16449,Chlorofom,4.8060
LiLiNaRbSnFFFClClCl,-0.21492,-0.05176,0.16316,Diethyl ether,4.3350
LiLiNaRbSnFFFFBrI,-0.21248,-0.0569,0.15558,Water,78.5400
LiLiNaRbSnFFFFClI,-0.20362,-0.05655,0.14707,Pyridine,12.3000
LiLiNaRbSnFFFFFBr,-0.20457,-0.04658,0.15799,Chlorofom,4.8060
LiLiNaRbSnFFFFFF,-0.21454,-0.04324,0.1713,n-hexadecane,2.0600
LiLiNaRbSnFFIIII,-0.207,-0.08807,0.11893,Benzene,2.2840
LiLiNaRbSnFIIIII,-0.19923,-0.0728,0.12643,Water,78.5400
LiLiNaRbSnIIIIII,-0.19841,-0.07883,0.11958,Ethanol,24.3000
LiLiRbCsGeClBrBrBrBrI,-0.19601,-0.06702,0.12899,Chlorofom,4.8060
LiLiRbCsGeClBrIIII,-0.1982,-0.07746,0.12074,Nitrobenzene,35.7000
LiLiRbCsGeClClClBrBrI,-0.20806,-0.07082,0.13724,Chlorofom,4.8060
LiLiRbCsGeClClClClBrI,-0.22202,-0.07321,0.14881,Ethanol,24.3000
LiLiRbCsGeClClClClII,-0.20673,-0.09887,0.10786,Benzene,2.2840
LiLiRbCsGeFBrBrBrII,-0.2221,-0.08372,0.13838,Dimethyl sulfoxide,46.7000
LiLiRbCsGeFClBrBrBrBr,-0.21429,-0.06335,0.15094,Water,78.5400
LiLiRbCsGeFClClBrBrBr,-0.20382,-0.06686,0.13696,Carbon tetrachloride,2.2380
LiLiRbCsGeFClClClII,-0.20249,-0.0673,0.13519,Nitrobenzene,35.7000
LiLiRbCsGeFFBrIII,-0.20782,-0.07342,0.1344,Dimethyl sulfoxide,46.7000
LiLiRbCsGeFFClClBrI,-0.20979,-0.05745,0.15234,Carbon tetrachloride,2.2380
LiLiRbCsGeFFClClClCl,-0.20749,-0.06309,0.1444,Benzene,2.2840
LiLiRbCsGeFFFBrII,-0.20773,-0.05871,0.14902,Chlorofom,4.8060
LiLiRbCsGeFFFClBrBr,-0.19679,-0.06272,0.13407,n-hexane,1.8900
LiLiRbCsGeFFFClClBr,-0.19853,-0.03733,0.1612,Acetonitrile,37.5000
LiLiRbCsGeFFFClClCl,-0.21565,-0.04527,0.17038,Nitrobenzene,35.7000
LiLiRbCsGeFFFClII,-0.20997,-0.06343,0.14654,n-hexadecane,2.0600
LiLiRbCsGeFFFFBrI,-0.21591,-0.04153,0.17438,Ethanol,24.3000
LiLiRbCsGeFFFIII,-0.19381,-0.09685,0.09696,Benzene,2.2840
LiLiRbCsPbBrBrBrBrBrBr,-0.21336,-0.09177,0.12159,Carbon tetrachloride,2.2380
LiLiRbCsPbBrBrBrBrBrI,-0.21616,-0.0945,0.12166,Chlorofom,4.8060
LiLiRbCsPbClClBrBrBrBr,-0.21728,-0.09295,0.12433,Carbon tetrachloride,2.2380
