fomula,homo,lumo,band gap,cosmoname,cosmodata
LiLiLiKPbFFFFClCl,-0.24263,-0.07209,0.17054,Methylene chloride,9.0800
LiLiLiKPbFFFFFI,-0.21502,-0.07216,0.14286,Diethyl ether,4.3350
LiLiLiKPbFIIIII,-0.21793,-0.11317,0.10476,Chlorofom,4.8060
LiLiLiKPbIIIIII,-0.21948,-0.10188,0.1176,Benzene,2.2840
LiLiLiKSnClBrBrIII,-0.20309,-0.08214,0.12095,Ethanol,24.3000
LiLiLiKSnClBrIIII,-0.20723,-0.09099,0.11624,Benzene,2.2840
LiLiLiKSnClClBrBrII,-0.21896,-0.08422,0.13474,Ethanol,24.3000
LiLiLiKSnClClClClClCl,-0.2228,-0.05935,0.16345,Acetonitrile,37.5000
LiLiLiKSnClClClClII,-0.21835,-0.10905,0.1093,Chlorofom,4.8060
LiLiLiKSnFBrBrBrBrI,-0.21311,-0.07928,0.13383,Pyridine,12.3000
LiLiLiKSnFBrIIII,-0.22102,-0.10063,0.12039,Carbon tetrachloride,2.2380
LiLiLiKSnFClBrBrBrBr,-0.20539,-0.07877,0.12662,Ethanol,24.3000
LiLiLiKSnFClBrBrII,-0.21504,-0.08103,0.13401,Ethanol,24.3000
LiLiLiKSnFClBrIII,-0.20863,-0.07679,0.13184,Acetonitrile,37.5000
LiLiLiKSnFClClBrBrBr,-0.22808,-0.08461,0.14347,Diethyl ether,4.3350
LiLiLiKSnFClIIII,-0.20441,-0.07979,0.12462,Chlorofom,4.8060
LiLiLiKSnFFClBrBrI,-0.22077,-0.07981,0.14096,Acetonitrile,37.5000
LiLiLiKSnFFClClClI,-0.2025,-0.04952,0.15298,Ethanol,24.3000
LiLiLiKSnFFFBrBrBr,-0.22537,-0.07245,0.15292,Carbon tetrachloride,2.2380
LiLiLiKSnFFFClBrI,-0.21299,-0.06888,0.14411,Pyridine,12.3000
LiLiLiKSnFFFClClBr,-0.23138,-0.06589,0.16549,Pyridine,12.3000
LiLiLiKSnFFFFBrI,-0.21092,-0.06674,0.14418,Methylene chloride,9.0800
